402,2,33P001,,2,01/01/2019,12/31/2019,02/17/2023,N,N,D,10001,4,02/14/2023,,02/16/2023,,08/31/2020
404,8,10P002,,2,06/01/2019,05/31/2020,02/20/2023,N,N,D,10001,4,02/15/2023,,02/17/2023,,10/29/2020
406,2,37P002,,2,01/01/2019,12/31/2019,02/27/2023,N,N,D,10001,4,02/21/2023,,02/24/2023,,07/30/2020
427,6,23P001,,4,01/01/2019,12/31/2019,04/26/2023,N,N,D,10001,4,04/21/2023,,04/26/2023,,08/31/2020
436,6,28P001,,2,07/01/2019,06/30/2020,05/11/2023,N,N,D,10001,4,05/08/2023,,05/10/2023,,11/10/2020
538,6,12P001,,4,01/01/2019,12/31/2019,10/25/2023,N,N,D,10001,4,10/18/2023,,10/24/2023,,09/04/2020
563,4,24P001,,3,01/01/2019,12/31/2019,01/16/2024,N,N,D,10001,4,01/09/2024,,01/11/2024,,05/04/2021
564,6,50P003,,3,01/01/2019,12/31/2019,01/16/2024,N,N,D,10001,4,01/10/2024,,01/11/2024,,10/29/2020
588,6,15P001,,4,01/01/2019,12/31/2019,04/11/2024,N,N,D,10001,4,04/01/2024,,04/10/2024,,05/20/2020
651,6,14P001,,2,01/01/2019,12/31/2019,07/19/2024,N,N,D,10001,4,06/29/2024,,07/01/2024,,06/22/2020
661,8,39P001,,2,01/01/2019,12/31/2019,07/19/2024,N,N,D,10001,4,07/12/2024,,07/15/2024,,08/31/2020
738,6,17P001,,3,01/01/2019,12/31/2019,12/20/2024,N,N,D,10001,4,12/17/2024,,12/19/2024,,03/05/2021
